City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Miryalaguda","11","3655","377","114340.00","1141820.00","10.31%"
"Siddipet","8","4516","689","189250.00","1211800.00","15.26%"
"Jagtial","4","1740","371","102025.00","478500.00","21.32%"
"Sircilla","0","0","0","0.00","0.00","0.00%"
"Kamareddy","4","1944","257","70675.00","534600.00","13.22%"
"Palwancha","0","0","0","0.00","0.00","0.00%"
"Kothagudem","0","0","0","0.00","0.00","0.00%"
"Bodhan","0","0","0","0.00","0.00","0.00%"
"Sangareddy","8","4612","1172","320035.00","1186940.00","25.41%"
"Metpally","4","2624","18","4350.00","561040.00","0.69%"
