City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","3","0","0","0.00","0.00","0.00%"
"Kanakapura","4","0","0","0.00","0.00","0.00%"
"Karkala","5","0","0","0.00","0.00","0.00%"
"Mandya","8","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","1","0","0","0.00","0.00","0.00%"
"Ranebennuru","8","0","0","0.00","0.00","0.00%"
"Udupi","2","0","0","0.00","0.00","0.00%"
"Channarayapatna","4","0","0","0.00","0.00","0.00%"
"Bagalkote","4","0","0","0.00","0.00","0.00%"
